ANO_ELEICAO;CODIGO_ESTADO;CODIGO_MUNICIPIO;NUMERO_PARTIDO;ANALFABETO;ENSINO_FUNDAMENTAL_COMPLETO;ENSINO_FUNDAMENTAL_INCOMPLETO;ENSINO_MEDIO_COMPLETO;ENSINO_MEDIO_INCOMPLETO;LE_E_ESCREVE;SUPERIOR_COMPLETO;SUPERIOR_INCOMPLETO;TOTAL_GASTO;SEXO;COD_GRAU_INSTRUCAO;QTD_APTOS;PERCENTUAL_VOTOS
0;2008;1;1120;15;1253;592;3009;518;930;2488;76;51;0.0;2;8;8928;3.14
1;2008;1;1120;11;1253;592;3009;518;930;2488;76;51;0.0;2;5;8928;39.28
51;2008;1;1570;45;986;209;1183;166;252;1764;37;46;0.0;2;8;9286;13.69
52;2008;1;1570;13;986;209;1183;166;252;1764;37;46;0.0;4;8;9286;19.36
91;2008;1;1058;15;2056;704;4931;711;1449;4333;159;129;0.0;2;8;28946;12.16
92;2008;1;1058;13;2056;704;4931;711;1449;4333;159;129;0.0;4;8;28946;25.37
93;2008;1;1058;50;2056;704;4931;711;1449;4333;159;129;0.0;2;3;28946;1.26
149;2008;1;1007;13;1149;343;2377;429;743;1588;62;63;0.0;2;6;13508;18.85
150;2008;1;1007;15;1149;343;2377;429;743;1588;62;63;0.0;2;3;13508;21.42
207;2008;1;1015;13;1264;342;2196;401;526;1511;63;62;0.0;2;8;12730;23.15
208;2008;1;1015;15;1264;342;2196;401;526;1511;63;62;0.0;2;5;12730;15.71
267;2008;1;1074;23;7447;2337;14614;2746;8187;9098;535;370;0.0;2;6;90672;1.18
268;2008;1;1074;15;7447;2337;14614;2746;8187;9098;535;370;0.0;2;4;90672;17.0
269;2008;1;1074;14;7447;2337;14614;2746;8187;9098;535;370;0.0;4;8;90672;3.04
270;2008;1;1074;11;7447;2337;14614;2746;8187;9098;535;370;0.0;2;6;90672;14.29
376;2008;1;1112;36;1145;519;3041;562;917;2622;107;107;0.0;2;8;18040;10.93
377;2008;1;1112;13;1145;519;3041;562;917;2622;107;107;0.0;2;8;18040;10.43
378;2008;1;1112;45;1145;519;3041;562;917;2622;107;107;0.0;2;8;18040;4.25
379;2008;1;1112;40;1145;519;3041;562;917;2622;107;107;0.0;2;4;18040;13.44
445;2008;1;1139;45;5460;420;4428;407;1351;3950;77;59;0.0;2;6;48348;11.97
446;2008;1;1139;45;5460;420;4428;407;1351;3950;77;59;0.0;2;6;48348;11.7
447;2008;1;1139;13;5460;420;4428;407;1351;3950;77;59;0.0;4;4;48348;9.97
448;2008;1;1139;13;5460;420;4428;407;1351;3950;77;59;0.0;2;3;48348;11.88
491;2008;1;1104;15;1510;52;1069;112;79;801;17;21;0.0;2;8;7322;14.93
492;2008;1;1104;13;1510;52;1069;112;79;801;17;21;0.0;2;6;7322;22.86
523;2008;1;1554;25;1213;170;1041;149;322;1768;39;19;0.0;2;6;9442;10.31
524;2008;1;1554;50;1213;170;1041;149;322;1768;39;19;0.0;2;8;9442;1.85
525;2008;1;1554;11;1213;170;1041;149;322;1768;39;19;0.0;2;5;9442;14.29
526;2008;1;1554;13;1213;170;1041;149;322;1768;39;19;0.0;2;4;9442;12.29
569;2008;1;1040;13;2659;178;2534;215;345;981;21;35;0.0;2;5;13936;17.78
570;2008;1;1040;15;2659;178;2534;215;345;981;21;35;0.0;2;6;13936;21.59
620;2008;1;1090;15;1551;408;3269;460;1316;2504;46;44;0.0;2;8;19196;25.39
621;2008;1;1090;11;1551;408;3269;460;1316;2504;46;44;0.0;2;7;19196;12.98
