ANO_ELEICAO;CODIGO_ESTADO;CODIGO_MUNICIPIO;NUMERO_PARTIDO;TOTAL_VOTOS;ANALFABETO;ENSINO_FUNDAMENTAL_COMPLETO;ENSINO_FUNDAMENTAL_INCOMPLETO;ENSINO_MEDIO_COMPLETO;ENSINO_MEDIO_INCOMPLETO;LE_E_ESCREVE;SUPERIOR_COMPLETO;SUPERIOR_INCOMPLETO;TOTAL_GASTO;CODIGO_SIT_CAND_TOT;SEXO;COD_GRAU_INSTRUCAO
39156;2008;5;38792;44;4578;516;279;3518;863;1417;1914;66;48;18709.32;1.0;2;6
39157;2008;5;38792;40;236;516;279;3518;863;1417;1914;66;48;0.0;4.0;2;7
39158;2008;5;38792;36;17;516;279;3518;863;1417;1914;66;48;0.0;4.0;4;3
39225;2008;5;38822;22;3892;577;264;2836;644;1178;2725;36;43;33000.0;1.0;2;8
39261;2008;5;39896;13;1879;877;717;2984;681;1228;5814;27;23;650.0;4.0;2;8
39262;2008;5;39896;25;3981;877;717;2984;681;1228;5814;27;23;225500.0;4.0;2;2
39263;2008;5;39896;15;4760;877;717;2984;681;1228;5814;27;23;126500.0;1.0;2;6
39321;2008;5;38857;40;898;1246;585;9250;1190;2382;4080;121;71;5903.8;4.0;2;3
39322;2008;5;38857;13;3334;1246;585;9250;1190;2382;4080;121;71;12033.36;4.0;2;6
39323;2008;5;38857;10;355;1246;585;9250;1190;2382;4080;121;71;3047.6;4.0;2;6
39324;2008;5;38857;15;7431;1246;585;9250;1190;2382;4080;121;71;75149.0;1.0;2;6
39325;2008;5;38857;25;3665;1246;585;9250;1190;2382;4080;121;71;0.0;4.0;2;5
39326;2008;5;38857;43;442;1246;585;9250;1190;2382;4080;121;71;0.0;4.0;2;8
39327;2008;5;38857;25;3665;1246;585;9250;1190;2382;4080;121;71;50632.35;10.0;4;5
39407;2008;5;39926;14;191;648;140;1831;105;337;1412;11;7;0.0;4.0;2;3
39408;2008;5;39926;40;206;648;140;1831;105;337;1412;11;7;0.0;4.0;2;6
39409;2008;5;39926;13;2523;648;140;1831;105;337;1412;11;7;27570.0;1.0;2;4
39410;2008;5;39926;15;818;648;140;1831;105;337;1412;11;7;6000.0;4.0;2;4
39441;2008;5;38865;44;2809;926;218;2058;249;538;2312;12;15;95010.34;1.0;2;6
39442;2008;5;38865;45;2621;926;218;2058;249;538;2312;12;15;119082.78;4.0;4;6
39464;2008;5;38873;12;151;798;144;1970;360;882;3132;30;22;7685.0;4.0;2;3
39465;2008;5;38873;44;2727;798;144;1970;360;882;3132;30;22;27000.0;4.0;2;5
39466;2008;5;38873;13;65;798;144;1970;360;882;3132;30;22;9490.0;4.0;2;3
39467;2008;5;38873;15;3556;798;144;1970;360;882;3132;30;22;15799.0;1.0;2;3
39517;2008;5;38890;15;6399;1695;997;9632;2283;4436;5530;178;121;83253.85;4.0;2;7
39518;2008;5;38890;65;11658;1695;997;9632;2283;4436;5530;178;121;259930.0;1.0;4;8
39519;2008;5;38890;45;2931;1695;997;9632;2283;4436;5530;178;121;119100.0;4.0;2;3
39625;2008;5;39144;22;3320;828;249;2650;393;983;3625;29;25;51000.0;4.0;2;5
39626;2008;5;39144;12;3500;828;249;2650;393;983;3625;29;25;0.0;1.0;2;2
39627;2008;5;39144;45;3500;828;249;2650;393;983;3625;29;25;34545.0;10.0;2;3
39682;2008;5;39900;45;3825;2321;107;1971;100;453;3660;4;14;33209.24;1.0;2;8
39683;2008;5;39900;25;3126;2321;107;1971;100;453;3660;4;14;54050.0;4.0;2;8
39705;2008;5;39179;15;3880;1319;249;2825;378;1125;3700;14;13;0.0;4.0;2;5
39706;2008;5;39179;15;3880;1319;249;2825;378;1125;3700;14;13;86726.5;10.0;2;7
39707;2008;5;39179;13;316;1319;249;2825;378;1125;3700;14;13;8596.3;4.0;2;8
39708;2008;5;39179;25;3956;1319;249;2825;378;1125;3700;14;13;30615.0;1.0;2;6
39741;2008;5;39195;15;5592;1159;559;3808;461;1477;6864;42;36;75828.41;4.0;2;8
39742;2008;5;39195;65;6777;1159;559;3808;461;1477;6864;42;36;188284.0;1.0;2;5
39798;2008;5;39918;15;4348;1064;214;2465;284;1232;6219;18;14;72620.0;4.0;2;2
39799;2008;5;39918;65;91;1064;214;2465;284;1232;6219;18;14;9220.0;4.0;2;8
39800;2008;5;39918;13;4711;1064;214;2465;284;1232;6219;18;14;145109.15;1.0;2;6
39834;2008;5;39217;13;2415;366;230;1463;502;783;1763;29;33;40220.81;1.0;2;6
39835;2008;5;39217;11;2140;366;230;1463;502;783;1763;29;33;8958.0;4.0;2;6
39877;2008;5;39233;36;179;1899;228;3222;484;1164;3362;65;40;100.0;4.0;2;3
39878;2008;5;39233;22;2637;1899;228;3222;484;1164;3362;65;40;24802.25;4.0;4;8
39879;2008;5;39233;13;5607;1899;228;3222;484;1164;3362;65;40;131380.1;1.0;2;8
39945;2008;5;39250;15;3269;1980;253;3385;283;1204;3169;32;21;107005.78;4.0;2;8
39946;2008;5;39250;11;4213;1980;253;3385;283;1204;3169;32;21;51000.45;1.0;2;8
39995;2008;5;39934;20;497;9667;4390;23987;9139;13170;21567;1231;838;0.0;4.0;2;4
39996;2008;5;39934;13;13157;9667;4390;23987;9139;13170;21567;1231;838;120500.0;4.0;2;8
39997;2008;5;39934;45;28794;9667;4390;23987;9139;13170;21567;1231;838;182986.5;1.0;2;8
39998;2008;5;39934;15;18226;9667;4390;23987;9139;13170;21567;1231;838;30182.5;4.0;2;6
39999;2008;5;39934;33;497;9667;4390;23987;9139;13170;21567;1231;838;114656.96;10.0;2;8
40148;2008;5;39276;15;905;511;199;2099;475;825;1605;30;18;0.0;4.0;2;6
40149;2008;5;39276;36;510;511;199;2099;475;825;1605;30;18;3000.0;4.0;2;7
40150;2008;5;39276;13;1265;511;199;2099;475;825;1605;30;18;19914.37;4.0;2;8
40151;2008;5;39276;45;2042;511;199;2099;475;825;1605;30;18;31640.95;1.0;2;7
40216;2008;5;39292;36;4183;1947;324;5460;501;1103;5616;37;22;39918.5;4.0;2;7
40217;2008;5;39292;13;1633;1947;324;5460;501;1103;5616;37;22;12562.14;4.0;2;7
40218;2008;5;39292;12;6117;1947;324;5460;501;1103;5616;37;22;111270.75;1.0;2;6
40259;2008;5;39314;15;3771;1733;223;2178;341;976;3132;29;28;75954.66;1.0;2;8
40260;2008;5;39314;22;3168;1733;223;2178;341;976;3132;29;28;19593.23;4.0;2;6
40261;2008;5;39314;10;467;1733;223;2178;341;976;3132;29;28;0.0;4.0;4;6
40309;2008;5;39330;43;304;548;207;3502;528;1131;2286;28;24;598.0;4.0;2;3
40310;2008;5;39330;15;4809;548;207;3502;528;1131;2286;28;24;49835.5;1.0;2;3
40311;2008;5;39330;12;243;548;207;3502;528;1131;2286;28;24;0.0;4.0;2;8
40312;2008;5;39330;13;1426;548;207;3502;528;1131;2286;28;24;30000.0;4.0;2;7
40313;2008;5;39330;40;259;548;207;3502;528;1131;2286;28;24;602.97;4.0;4;8
40396;2008;5;39357;15;5014;2843;273;3178;321;860;5387;34;21;46693.85;4.0;2;6
40397;2008;5;39357;20;5172;2843;273;3178;321;860;5387;34;21;43975.71;1.0;2;8
40441;2008;5;39373;45;11376;6631;659;10425;1707;3551;13406;125;92;116355.87;4.0;2;5
40442;2008;5;39373;31;1260;6631;659;10425;1707;3551;13406;125;92;67402.0;4.0;2;8
40443;2008;5;39373;40;14688;6631;659;10425;1707;3551;13406;125;92;140080.5;1.0;2;6
40525;2008;5;39390;15;178;2160;299;5803;862;2202;6464;77;59;9627.5;4.0;2;6
40526;2008;5;39390;28;7333;2160;299;5803;862;2202;6464;77;59;192523.31;1.0;2;7
40527;2008;5;39390;12;6776;2160;299;5803;862;2202;6464;77;59;75338.76;4.0;2;8
40528;2008;5;39390;13;731;2160;299;5803;862;2202;6464;77;59;14243.4;4.0;2;6
40605;2008;5;39438;14;15;2778;389;4568;1086;1887;6003;148;93;0.0;4.0;2;6
40606;2008;5;39438;15;6749;2778;389;4568;1086;1887;6003;148;93;3010.0;1.0;2;8
40607;2008;5;39438;22;5045;2778;389;4568;1086;1887;6003;148;93;14125.0;4.0;4;8
40668;2008;5;39454;65;4196;1750;654;2969;799;1519;4049;65;64;142776.37;1.0;2;6
40669;2008;5;39454;25;2422;1750;654;2969;799;1519;4049;65;64;35262.68;4.0;2;8
40670;2008;5;39454;22;99;1750;654;2969;799;1519;4049;65;64;0.0;4.0;2;6
40671;2008;5;39454;11;2264;1750;654;2969;799;1519;4049;65;64;25432.5;4.0;2;6
40721;2008;5;39411;45;4556;1961;233;4579;547;1450;3598;54;38;6010.0;4.0;4;8
40722;2008;5;39411;12;147;1961;233;4579;547;1450;3598;54;38;4303.61;4.0;2;8
40723;2008;5;39411;25;5699;1961;233;4579;547;1450;3598;54;38;47404.21;1.0;2;7
40780;2008;5;39470;14;4060;636;207;2699;607;1392;4024;57;39;40880.0;4.0;2;8
40781;2008;5;39470;13;4074;636;207;2699;607;1392;4024;57;39;29822.02;1.0;2;8
40815;2008;5;39489;45;4235;1368;478;2515;266;582;4011;6;20;3000.0;1.0;2;6
40816;2008;5;39489;25;3082;1368;478;2515;266;582;4011;6;20;26327.48;4.0;2;2
40851;2008;5;39497;40;4325;3269;798;5489;878;1778;6657;94;66;35000.0;4.0;2;4
40852;2008;5;39497;11;7871;3269;798;5489;878;1778;6657;94;66;42796.43;1.0;2;3
40937;2008;5;39519;22;3339;1032;311;4011;273;844;3881;30;23;0.0;4.0;2;8
40938;2008;5;39519;65;4982;1032;311;4011;273;844;3881;30;23;39654.0;1.0;2;7
40961;2008;5;39535;70;5470;1808;553;6420;1012;1716;3366;113;112;34929.35;4.0;2;3
40962;2008;5;39535;11;7239;1808;553;6420;1012;1716;3366;113;112;36530.5;1.0;2;8
41028;2008;5;39551;22;4492;1342;369;3053;469;1264;4433;39;35;93036.0;4.0;2;6
41029;2008;5;39551;45;4741;1342;369;3053;469;1264;4433;39;35;4059.0;1.0;2;8
41030;2008;5;39551;17;74;1342;369;3053;469;1264;4433;39;35;2740.0;4.0;2;7
41031;2008;5;39551;23;91;1342;369;3053;469;1264;4433;39;35;33434.4;4.0;2;8
41088;2008;5;39594;13;6554;1483;499;3723;1114;2367;6527;85;66;44337.31;4.0;2;7
41089;2008;5;39594;20;7121;1483;499;3723;1114;2367;6527;85;66;107402.66;1.0;2;6
41125;2008;5;39578;11;7962;7645;1864;16535;4536;9092;14415;496;345;39262.0;4.0;2;8
41126;2008;5;39578;13;3693;7645;1864;16535;4536;9092;14415;496;345;101401.46;4.0;2;8
41127;2008;5;39578;15;10869;7645;1864;16535;4536;9092;14415;496;345;33805.0;4.0;2;6
41128;2008;5;39578;22;17127;7645;1864;16535;4536;9092;14415;496;345;202446.02;1.0;2;2
41223;2008;5;39624;11;2391;664;193;1911;158;621;2319;11;6;111800.0;4.0;2;8
41224;2008;5;39624;13;2745;664;193;1911;158;621;2319;11;6;31617.02;1.0;2;8
41225;2008;5;39624;12;44;664;193;1911;158;621;2319;11;6;0.0;4.0;2;7
41266;2008;5;39632;45;640;1689;1575;9854;2620;3621;6269;432;259;0.0;4.0;2;8
41267;2008;5;39632;15;7969;1689;1575;9854;2620;3621;6269;432;259;101700.0;4.0;2;8
41268;2008;5;39632;13;11695;1689;1575;9854;2620;3621;6269;432;259;72369.08;1.0;2;7
41380;2008;5;39640;22;2423;967;184;1582;211;520;2066;16;11;49000.0;1.0;2;8
41381;2008;5;39640;13;42;967;184;1582;211;520;2066;16;11;0.0;4.0;2;7
41382;2008;5;39640;44;1881;967;184;1582;211;520;2066;16;11;6060.0;4.0;2;6
41412;2008;5;39659;12;19015;19568;10388;58701;21440;30884;47585;3642;2740;118536.0;4.0;2;8
41413;2008;5;39659;13;79725;19568;10388;58701;21440;30884;47585;3642;2740;163045.57;1.0;2;8
41414;2008;5;39659;45;43159;19568;10388;58701;21440;30884;47585;3642;2740;98252.0;4.0;2;8
41856;2008;5;39977;15;3951;1241;132;2542;259;583;4073;22;39;93867.38;1.0;2;4
41857;2008;5;39977;45;3623;1241;132;2542;259;583;4073;22;39;57900.0;4.0;2;8
41880;2008;5;39616;12;2599;626;141;1542;347;708;2621;21;12;42534.0;4.0;2;3
41881;2008;5;39616;45;2821;626;141;1542;347;708;2621;21;12;27831.89;1.0;2;6
41913;2008;5;39950;25;490;1316;307;2909;361;1036;3216;28;25;68674.83;4.0;2;6
41914;2008;5;39950;15;3315;1316;307;2909;361;1036;3216;28;25;43350.0;1.0;2;3
41915;2008;5;39950;11;2937;1316;307;2909;361;1036;3216;28;25;35800.0;4.0;4;8
41956;2008;5;39675;31;3083;919;265;1799;350;715;2652;26;13;39707.44;1.0;2;8
41957;2008;5;39675;15;1803;919;265;1799;350;715;2652;26;13;18353.4;4.0;4;8
41987;2008;5;39993;13;4502;1182;292;2241;527;1342;3587;40;33;14840.0;1.0;2;8
41988;2008;5;39993;15;3537;1182;292;2241;527;1342;3587;40;33;15475.0;4.0;2;4
42017;2008;5;39691;10;21;2097;311;2809;471;1118;4313;39;39;0.0;4.0;2;3
42018;2008;5;39691;44;4513;2097;311;2809;471;1118;4313;39;39;78800.0;4.0;2;5
42019;2008;5;39691;22;5243;2097;311;2809;471;1118;4313;39;39;195170.0;1.0;4;8
42091;2008;5;39713;14;293;3061;1815;7648;1528;2882;10719;154;121;10750.0;4.0;2;8
42092;2008;5;39713;22;9288;3061;1815;7648;1528;2882;10719;154;121;52623.5;4.0;2;8
42093;2008;5;39713;15;14474;3061;1815;7648;1528;2882;10719;154;121;117669.48;1.0;2;8
42147;2008;5;33073;11;3045;1177;459;2957;363;817;4269;9;5;81331.45;1.0;2;8
42148;2008;5;33073;15;2794;1177;459;2957;363;817;4269;9;5;7500.0;4.0;2;6
42149;2008;5;33073;22;2276;1177;459;2957;363;817;4269;9;5;15000.0;4.0;2;6
42150;2008;5;33073;13;309;1177;459;2957;363;817;4269;9;5;10140.0;4.0;2;8
42207;2008;5;33090;13;3903;1632;155;1724;259;661;4274;19;23;27294.08;1.0;2;8
42239;2008;5;38490;15;753487;33007;121481;554309;325722;409055;158591;85886;57378;2924692.94;1.0;2;8
42240;2008;5;38490;13;535492;33007;121481;554309;325722;409055;158591;85886;57378;4523855.6;4.0;2;7
0;2008;6;13013;22;666;1171;171;1904;257;853;1723;29;23;1374.95;4.0;4;6
18;2008;6;13145;15;4451;1327;619;2903;700;1628;2783;73;49;117950.0;1.0;2;8
19;2008;6;13145;13;3995;1327;619;2903;700;1628;2783;73;49;7070.0;4.0;2;8
74;2008;6;13030;10;179;5389;1373;9384;963;4248;15612;173;97;888.0;4.0;2;8
75;2008;6;13030;15;13744;5389;1373;9384;963;4248;15612;173;97;408500.0;4.0;2;8
76;2008;6;13030;13;15820;5389;1373;9384;963;4248;15612;173;97;23161.0;1.0;2;3
114;2008;6;13056;14;14829;4595;915;8015;1003;3221;13700;183;128;627720.06;1.0;2;8
115;2008;6;13056;15;12728;4595;915;8015;1003;3221;13700;183;128;73000.0;4.0;2;8
152;2008;6;13072;13;1263;1853;397;2957;366;1037;3898;50;49;18555.0;4.0;2;4
153;2008;6;13072;45;7175;1853;397;2957;366;1037;3898;50;49;4424.64;1.0;4;6
154;2008;6;13072;45;7175;1853;397;2957;366;1037;3898;50;49;11600.0;10.0;2;3
187;2008;6;13099;50;102;975;240;3145;155;853;2651;30;25;0.0;4.0;2;8
188;2008;6;13099;40;3036;975;240;3145;155;853;2651;30;25;0.0;1.0;2;6
189;2008;6;13099;40;2894;975;240;3145;155;853;2651;30;25;25406.0;4.0;2;6
190;2008;6;13099;44;3254;975;240;3145;155;853;2651;30;25;43940.0;1.0;2;2
227;2008;6;13110;25;1790;744;199;1740;124;555;1890;23;23;0.0;4.0;4;8
228;2008;6;13110;40;2693;744;199;1740;124;555;1890;23;23;0.0;1.0;2;6
229;2008;6;13110;40;2193;744;199;1740;124;555;1890;23;23;16969.0;4.0;2;6
230;2008;6;13110;45;2208;744;199;1740;124;555;1890;23;23;75275.2;1.0;2;6
253;2008;6;13137;10;5867;1399;359;4249;535;1198;3546;87;57;45291.4;1.0;2;6
254;2008;6;13137;11;3515;1399;359;4249;535;1198;3546;87;57;18411.3;4.0;2;8
282;2008;6;15873;40;9459;4698;1010;9399;1249;3806;7690;177;111;149146.0;4.0;2;6
283;2008;6;15873;13;12347;4698;1010;9399;1249;3806;7690;177;111;116910.15;1.0;2;6
284;2008;6;15873;50;32;4698;1010;9399;1249;3806;7690;177;111;0.0;4.0;2;4
350;2008;6;13153;15;2066;1124;193;1832;204;705;2105;42;20;5024.23;4.0;2;8
351;2008;6;13153;40;2473;1124;193;1832;204;705;2105;42;20;46070.0;1.0;2;4
352;2008;6;13153;11;298;1124;193;1832;204;705;2105;42;20;3236.27;4.0;2;4
377;2008;6;13170;44;4733;1349;506;2831;593;1439;4268;100;54;65400.0;1.0;2;8
378;2008;6;13170;13;241;1349;506;2831;593;1439;4268;100;54;95.7;4.0;4;8
379;2008;6;13170;36;5;1349;506;2831;593;1439;4268;100;54;4285.0;4.0;2;6
380;2008;6;13170;12;4351;1349;506;2831;593;1439;4268;100;54;47218.9;4.0;2;8
427;2008;6;13196;15;18650;3012;1783;12593;2372;5042;9968;554;272;238731.32;1.0;2;8
428;2008;6;13196;40;12334;3012;1783;12593;2372;5042;9968;554;272;164347.07;4.0;2;8
522;2008;6;13218;13;2001;5440;1736;13037;2753;9108;14559;442;334;22000.0;4.0;2;8
523;2008;6;13218;11;19881;5440;1736;13037;2753;9108;14559;442;334;344786.98;1.0;2;2
524;2008;6;13218;10;17317;5440;1736;13037;2753;9108;14559;442;334;264480.35;4.0;4;6
585;2008;6;13234;65;436;2332;881;6607;1168;2855;5665;135;68;276.0;4.0;2;8
586;2008;6;13234;45;9817;2332;881;6607;1168;2855;5665;135;68;101332.8;1.0;4;8
587;2008;6;13234;10;2605;2332;881;6607;1168;2855;5665;135;68;43374.95;4.0;2;8
588;2008;6;13234;40;4092;2332;881;6607;1168;2855;5665;135;68;93901.12;4.0;2;8
644;2008;6;13420;13;2975;1293;215;2297;321;858;3041;52;23;6215.74;4.0;2;8
645;2008;6;13420;40;3492;1293;215;2297;321;858;3041;52;23;58346.2;1.0;2;8
671;2008;6;13250;45;7151;3160;442;4119;326;1274;6598;108;62;70898.8;1.0;2;8
672;2008;6;13250;11;4990;3160;442;4119;326;1274;6598;108;62;52440.0;4.0;2;8
673;2008;6;13250;40;115;3160;442;4119;326;1274;6598;108;62;6635.0;4.0;4;8
705;2008;6;13277;13;3484;1198;281;2536;377;1403;3128;70;60;31393.5;4.0;2;8
706;2008;6;13277;22;4281;1198;281;2536;377;1403;3128;70;60;77559.43;1.0;2;8
743;2008;6;13293;45;2304;747;221;1471;267;755;2574;38;33;10346.48;4.0;2;8
744;2008;6;13293;15;2646;747;221;1471;267;755;2574;38;33;9960.0;1.0;2;7
767;2008;6;13315;45;6310;3258;453;4528;537;1496;6329;130;60;64195.5;1.0;2;4
768;2008;6;13315;40;1048;3258;453;4528;537;1496;6329;130;60;51868.0;4.0;2;6
769;2008;6;13315;15;5426;3258;453;4528;537;1496;6329;130;60;0.0;4.0;2;8
811;2008;6;13331;45;8293;2634;934;5156;695;1615;8364;111;63;15258.0;1.0;2;5
812;2008;6;13331;12;7401;2634;934;5156;695;1615;8364;111;63;128530.0;4.0;2;8
840;2008;6;13358;33;826;1189;194;1345;244;609;1193;39;22;298.0;4.0;2;4
841;2008;6;13358;12;1425;1189;194;1345;244;609;1193;39;22;26167.85;4.0;2;6
842;2008;6;13358;15;1686;1189;194;1345;244;609;1193;39;22;20000.0;1.0;4;8
843;2008;6;13358;13;82;1189;194;1345;244;609;1193;39;22;0.0;4.0;2;6
881;2008;6;13382;13;1863;2037;594;3845;493;1442;4182;51;55;110482.8;4.0;2;8
882;2008;6;13382;40;3997;2037;594;3845;493;1442;4182;51;55;17400.0;4.0;2;8
883;2008;6;13382;45;4556;2037;594;3845;493;1442;4182;51;55;142350.0;1.0;2;8
925;2008;6;13374;50;248;4705;2420;10803;2994;6019;9048;678;373;0.0;4.0;2;8
926;2008;6;13374;14;13227;4705;2420;10803;2994;6019;9048;678;373;194859.05;4.0;2;8
927;2008;6;13374;13;15554;4705;2420;10803;2994;6019;9048;678;373;48026.4;1.0;2;8
1006;2008;6;13129;15;4674;2248;802;4610;689;2046;4783;84;51;65158.08;1.0;2;6
1007;2008;6;13129;43;2840;2248;802;4610;689;2046;4783;84;51;0.0;4.0;2;8
1008;2008;6;13129;13;531;2248;802;4610;689;2046;4783;84;51;16950.0;4.0;2;8
1009;2008;6;13129;31;354;2248;802;4610;689;2046;4783;84;51;815.0;4.0;2;6
1010;2008;6;13129;12;4302;2248;802;4610;689;2046;4783;84;51;15899.6;4.0;2;8
1061;2008;6;13390;12;4875;1997;404;5034;539;2026;6052;115;83;109143.67;4.0;2;8
1062;2008;6;13390;25;7603;1997;404;5034;539;2026;6052;115;83;27010.0;1.0;2;8
1088;2008;6;13404;14;5059;1991;254;3135;271;903;3696;69;35;17539.42;1.0;2;8
1110;2008;6;13412;40;962;3471;1158;8357;1851;4011;5996;241;124;10396.48;4.0;2;4
1111;2008;6;13412;45;9285;3471;1158;8357;1851;4011;5996;241;124;28739.99;10.0;2;7
1112;2008;6;13412;13;897;3471;1158;8357;1851;4011;5996;241;124;23944.8;4.0;4;8
1113;2008;6;13412;45;9285;3471;1158;8357;1851;4011;5996;241;124;0.0;1.0;4;6
1181;2008;6;13439;15;11795;4148;1304;11208;1702;4776;12348;398;210;34500.0;4.0;2;8
1182;2008;6;13439;45;17020;4148;1304;11208;1702;4776;12348;398;210;337758.47;1.0;2;8
1183;2008;6;13439;70;699;4148;1304;11208;1702;4776;12348;398;210;1013.0;4.0;2;8
1261;2008;6;13455;13;951;2335;606;5097;499;2740;8838;134;67;49763.5;4.0;2;7
1262;2008;6;13455;15;6947;2335;606;5097;499;2740;8838;134;67;99850.0;4.0;2;6
1263;2008;6;13455;19;25;2335;606;5097;499;2740;8838;134;67;0.0;4.0;2;2
1264;2008;6;13455;11;350;2335;606;5097;499;2740;8838;134;67;12500.0;4.0;2;8
1265;2008;6;13455;45;7970;2335;606;5097;499;2740;8838;134;67;156551.49;1.0;2;3
1310;2008;6;13471;15;5822;7727;1544;9771;1591;4101;13878;212;109;115303.25;4.0;2;4
1311;2008;6;13471;45;12886;7727;1544;9771;1591;4101;13878;212;109;84826.65;1.0;2;8
1312;2008;6;13471;22;9439;7727;1544;9771;1591;4101;13878;212;109;32312.0;4.0;2;8
1359;2008;6;13498;45;9865;4622;1187;7400;1677;5119;10184;408;280;64121.21;4.0;2;8
1360;2008;6;13498;40;14504;4622;1187;7400;1677;5119;10184;408;280;327197.91;1.0;2;7
1392;2008;6;13510;11;18275;5606;1786;11097;2302;6953;12646;394;244;29804.12;1.0;2;6
1393;2008;6;13510;40;15342;5606;1786;11097;2302;6953;12646;394;244;156440.0;4.0;4;8
1478;2008;6;13536;45;8403;2946;1285;4990;934;1978;7136;146;93;65448.74;1.0;2;8
1479;2008;6;13536;10;6945;2946;1285;4990;934;1978;7136;146;93;202071.99;4.0;2;8
1513;2008;6;13552;13;2876;9260;2125;12570;2571;6912;17666;311;195;45341.07;4.0;2;8
1514;2008;6;13552;45;19046;9260;2125;12570;2571;6912;17666;311;195;293091.31;1.0;2;6
1515;2008;6;13552;23;13842;9260;2125;12570;2571;6912;17666;311;195;63060.0;4.0;2;8
1516;2008;6;13552;31;1579;9260;2125;12570;2571;6912;17666;311;195;4660.0;4.0;2;8
1517;2008;6;13552;15;980;9260;2125;12570;2571;6912;17666;311;195;28919.85;4.0;2;8
1630;2008;6;13579;12;5946;1687;473;3960;526;2099;4064;76;41;89399.0;1.0;2;8
1631;2008;6;13579;15;5135;1687;473;3960;526;2099;4064;76;41;28963.53;4.0;2;6
1683;2008;6;13595;13;3744;2630;511;4035;575;1360;4422;54;19;20267.2;4.0;4;8
1684;2008;6;13595;45;7383;2630;511;4035;575;1360;4422;54;19;24439.0;1.0;2;3
1718;2008;6;13633;40;9167;3569;595;5573;700;1941;9273;143;100;62729.76;1.0;2;6
1719;2008;6;13633;45;7011;3569;595;5573;700;1941;9273;143;100;0.0;4.0;4;8
1777;2008;6;13617;10;6541;1708;542;4378;608;1510;4997;168;86;119930.83;1.0;2;4
1778;2008;6;13617;45;5472;1708;542;4378;608;1510;4997;168;86;85395.0;4.0;2;8
1779;2008;6;13617;15;39;1708;542;4378;608;1510;4997;168;86;1857.25;4.0;2;6
1806;2008;6;13650;10;5289;3279;694;2288;546;1583;6947;77;49;74477.28;4.0;2;8
1807;2008;6;13650;22;6654;3279;694;2288;546;1583;6947;77;49;63038.51;1.0;2;5
1844;2008;6;13676;10;3383;1674;306;3752;213;1318;4942;40;32;0.0;4.0;2;8
1845;2008;6;13676;23;4961;1674;306;3752;213;1318;4942;40;32;26420.0;1.0;2;7
1846;2008;6;13676;10;3383;1674;306;3752;213;1318;4942;40;32;2600.0;10.0;4;8
1864;2008;6;13692;13;20123;5298;2104;16634;1895;6125;13547;343;176;196100.0;1.0;2;8
1865;2008;6;13692;31;17707;5298;2104;16634;1895;6125;13547;343;176;65620.0;4.0;4;7
1866;2008;6;13692;15;118;5298;2104;16634;1895;6125;13547;343;176;1455.0;4.0;4;8
1970;2008;6;13714;15;3520;1320;274;1790;274;904;3519;39;25;37510.93;1.0;2;8
1971;2008;6;13714;13;2722;1320;274;1790;274;904;3519;39;25;31425.57;4.0;2;8
1990;2008;6;13447;22;4107;979;279;2442;242;926;2731;48;21;80647.98;1.0;2;8
1991;2008;6;13447;10;2207;979;279;2442;242;926;2731;48;21;37534.0;4.0;4;8
2016;2008;6;13730;10;72464;11415;10725;60022;13334;30316;38533;1447;1091;516772.38;1.0;2;8
2017;2008;6;13730;36;1905;11415;10725;60022;13334;30316;38533;1447;1091;91350.0;4.0;2;8
2018;2008;6;13730;15;60793;11415;10725;60022;13334;30316;38533;1447;1091;2116383.8;4.0;4;8
2490;2008;6;13757;45;7636;1745;755;5648;1098;2601;5637;142;102;120240.0;4.0;2;8
2491;2008;6;13757;11;8296;1745;755;5648;1098;2601;5637;142;102;154812.6;1.0;2;8
2523;2008;6;13773;40;3810;2002;302;3254;229;1075;3124;73;36;22634.4;4.0;2;8
2524;2008;6;13773;12;4371;2002;302;3254;229;1075;3124;73;36;850.0;1.0;4;8
2525;2008;6;13773;65;52;2002;302;3254;229;1075;3124;73;36;1546.6;4.0;2;6
2526;2008;6;13773;45;4371;2002;302;3254;229;1075;3124;73;36;6311.65;10.0;2;4
2550;2008;6;13161;40;7365;2128;426;4383;481;1530;5617;87;67;129617.6;1.0;2;7
2551;2008;6;13161;25;121;2128;426;4383;481;1530;5617;87;67;4435.0;4.0;2;7
2552;2008;6;13161;27;4892;2128;426;4383;481;1530;5617;87;67;16000.0;4.0;4;6
2608;2008;6;13463;45;4078;2024;483;2755;329;1038;3486;36;33;3615.0;1.0;2;6
2609;2008;6;13463;13;410;2024;483;2755;329;1038;3486;36;33;2418.0;4.0;2;6
2610;2008;6;13463;15;3462;2024;483;2755;329;1038;3486;36;33;117028.0;4.0;4;6
2656;2008;6;13811;40;6105;2725;567;5344;604;2054;5585;169;89;102310.0;4.0;2;8
2657;2008;6;13811;45;7510;2725;567;5344;604;2054;5585;169;89;125165.0;1.0;2;8
2686;2008;6;13838;50;691;7769;2033;15948;3145;7723;17354;452;273;1780.85;4.0;2;8
2687;2008;6;13838;65;24381;7769;2033;15948;3145;7723;17354;452;273;181117.18;1.0;2;8
2688;2008;6;13838;45;13530;7769;2033;15948;3145;7723;17354;452;273;77748.76;4.0;2;7
