ANALFABETO;ENSINO_FUNDAMENTAL_COMPLETO;ENSINO_FUNDAMENTAL_INCOMPLETO;ENSINO_MEDIO_COMPLETO;ENSINO_MEDIO_INCOMPLETO;LE_E_ESCREVE;SUPERIOR_COMPLETO;SUPERIOR_INCOMPLETO;QTD_APTOS;QTD_COMPARECIMENTO
4368;18370;28410;135999;70707;87018;47911;33489;21741;887554;769136.0
4369;18370;28410;135999;70707;87018;47911;33489;21741;887554;769136.0
4370;18370;28410;135999;70707;87018;47911;33489;21741;887554;769136.0
4371;18370;28410;135999;70707;87018;47911;33489;21741;887554;769136.0
5981;1287;141;2017;163;501;2030;35;32;12414;10854.0
5982;1287;141;2017;163;501;2030;35;32;12414;10854.0
5983;1287;141;2017;163;501;2030;35;32;12414;10854.0
5984;1287;141;2017;163;501;2030;35;32;12414;10854.0
5985;1287;141;2017;163;501;2030;35;32;12414;10854.0
6024;1441;317;4357;271;747;4133;52;52;22740;20114.0
6025;1441;317;4357;271;747;4133;52;52;22740;20114.0
6076;506;167;1902;216;688;1308;33;27;9696;8714.0
6077;506;167;1902;216;688;1308;33;27;9696;8714.0
6078;506;167;1902;216;688;1308;33;27;9696;8714.0
6110;1511;149;2212;342;778;2975;50;45;16132;14538.0
6111;1511;149;2212;342;778;2975;50;45;16132;14538.0
6155;1153;190;2173;119;485;2443;30;16;13220;11514.0
6156;1153;190;2173;119;485;2443;30;16;13220;11514.0
6157;1153;190;2173;119;485;2443;30;16;13220;11514.0
6182;466;136;1012;120;352;1711;23;17;7676;7350.0
6183;466;136;1012;120;352;1711;23;17;7676;7350.0
6205;712;129;1830;224;445;1671;60;50;10242;9762.0
6206;712;129;1830;224;445;1671;60;50;10242;9762.0
6234;2257;745;5422;779;1897;6611;170;131;36034;32554.0
6235;2257;745;5422;779;1897;6611;170;131;36034;32554.0
6236;2257;745;5422;779;1897;6611;170;131;36034;32554.0
6237;2257;745;5422;779;1897;6611;170;131;36034;32554.0
6238;2257;745;5422;779;1897;6611;170;131;36034;32554.0
6298;404;78;763;97;235;1111;28;22;5476;5318.0
6299;404;78;763;97;235;1111;28;22;5476;5318.0
6316;518;112;1825;144;561;2127;40;22;10702;9150.0
6317;518;112;1825;144;561;2127;40;22;10702;9150.0
6318;518;112;1825;144;561;2127;40;22;10702;9150.0
6319;518;112;1825;144;561;2127;40;22;10702;9150.0
6320;518;112;1825;144;561;2127;40;22;10702;9150.0
6356;379;66;1089;87;282;806;14;12;5470;5318.0
6357;379;66;1089;87;282;806;14;12;5470;5318.0
6379;1612;218;2909;575;942;2794;194;125;18748;15962.0
6380;1612;218;2909;575;942;2794;194;125;18748;15962.0
6435;596;170;1272;207;438;1242;71;45;8084;7270.0
6436;596;170;1272;207;438;1242;71;45;8084;7270.0
6437;596;170;1272;207;438;1242;71;45;8084;7270.0
6465;6786;685;7395;1219;2726;9892;308;194;58444;48112.0
6466;6786;685;7395;1219;2726;9892;308;194;58444;48112.0
6535;1461;218;2722;153;628;3162;35;36;16830;13242.0
6536;1461;218;2722;153;628;3162;35;36;16830;13242.0
6556;1261;92;1431;110;393;1978;27;21;16099;13169.0
6557;1261;92;1431;110;393;1978;27;21;16099;13169.0
6558;1261;92;1431;110;393;1978;27;21;16099;13169.0
6559;1261;92;1431;110;393;1978;27;21;16099;13169.0
6597;3164;365;3794;447;1402;6118;65;41;30804;26086.0
6598;3164;365;3794;447;1402;6118;65;41;30804;26086.0
6660;707;167;1385;177;434;1415;39;33;8714;8188.0
6661;707;167;1385;177;434;1415;39;33;8714;8188.0
6688;1372;295;2247;661;597;3060;125;91;16896;15754.0
6689;1372;295;2247;661;597;3060;125;91;16896;15754.0
6736;1091;136;1592;239;477;1888;79;35;11074;10734.0
6737;1091;136;1592;239;477;1888;79;35;11074;10734.0
6796;384;96;1256;111;253;1185;38;14;6676;6372.0
6797;384;96;1256;111;253;1185;38;14;6676;6372.0
6830;336;45;394;58;112;817;4;2;3538;3196.0
6841;621;62;1447;98;325;1978;25;18;9148;8098.0
6842;621;62;1447;98;325;1978;25;18;9148;8098.0
6867;2119;222;2278;243;828;4459;49;30;20462;16014.0
6868;2119;222;2278;243;828;4459;49;30;20462;16014.0
6913;316;131;1155;103;360;1111;12;23;6422;6146.0
6914;316;131;1155;103;360;1111;12;23;6422;6146.0
6934;348;119;816;202;252;1354;58;35;6370;5712.0
6935;348;119;816;202;252;1354;58;35;6370;5712.0
6956;3082;1117;4847;1085;2581;9052;285;177;44466;37816.0
6957;3082;1117;4847;1085;2581;9052;285;177;44466;37816.0
6958;3082;1117;4847;1085;2581;9052;285;177;44466;37816.0
7001;1152;170;2422;283;660;2724;96;61;15136;14188.0
7002;1152;170;2422;283;660;2724;96;61;15136;14188.0
7003;1152;170;2422;283;660;2724;96;61;15136;14188.0
7004;1152;170;2422;283;660;2724;96;61;15136;14188.0
7047;371;69;1042;97;310;1350;34;26;6598;5860.0
7048;371;69;1042;97;310;1350;34;26;6598;5860.0
7069;1424;191;1907;153;541;2301;39;26;13176;10756.0
7070;1424;191;1907;153;541;2301;39;26;13176;10756.0
7071;1424;191;1907;153;541;2301;39;26;13176;10756.0
7109;910;161;1410;219;413;2107;44;36;10600;10134.0
7110;910;161;1410;219;413;2107;44;36;10600;10134.0
7111;910;161;1410;219;413;2107;44;36;10600;10134.0
7139;1136;192;2539;291;736;2123;49;42;14224;12494.0
7140;1136;192;2539;291;736;2123;49;42;14224;12494.0
7141;1136;192;2539;291;736;2123;49;42;14224;12494.0
7182;544;125;1830;137;381;1675;70;33;14385;11369.0
7183;544;125;1830;137;381;1675;70;33;14385;11369.0
7184;544;125;1830;137;381;1675;70;33;14385;11369.0
7185;544;125;1830;137;381;1675;70;33;14385;11369.0
7186;544;125;1830;137;381;1675;70;33;14385;11369.0
7205;302;157;847;140;239;1340;19;11;6110;5664.0
7206;302;157;847;140;239;1340;19;11;6110;5664.0
7234;1121;167;2205;232;603;1820;76;43;12544;11016.0
7235;1121;167;2205;232;603;1820;76;43;12544;11016.0
7236;1121;167;2205;232;603;1820;76;43;12544;11016.0
7262;272;85;721;160;281;1184;37;20;5522;5308.0
7263;272;85;721;160;281;1184;37;20;5522;5308.0
7284;317;113;769;153;323;612;41;21;4698;4528.0
7285;317;113;769;153;323;612;41;21;4698;4528.0
7312;84;59;378;59;123;779;27;7;3032;2898.0
7313;84;59;378;59;123;779;27;7;3032;2898.0
7327;228;90;553;84;187;814;20;21;3996;3596.0
7328;228;90;553;84;187;814;20;21;3996;3596.0
7349;6498;3615;18222;6420;10519;16997;2002;1202;130988;110706.0
7350;6498;3615;18222;6420;10519;16997;2002;1202;130988;110706.0
7351;6498;3615;18222;6420;10519;16997;2002;1202;130988;110706.0
7549;1386;212;2495;293;905;3928;49;53;18648;16890.0
7550;1386;212;2495;293;905;3928;49;53;18648;16890.0
7572;305;108;975;163;395;996;36;19;5994;5698.0
7573;305;108;975;163;395;996;36;19;5994;5698.0
7590;496;213;1474;373;403;2208;97;38;10608;10258.0
7591;496;213;1474;373;403;2208;97;38;10608;10258.0
7592;496;213;1474;373;403;2208;97;38;10608;10258.0
7622;4695;378;5312;753;1674;8484;129;106;43080;35240.0
7623;4695;378;5312;753;1674;8484;129;106;43080;35240.0
7624;4695;378;5312;753;1674;8484;129;106;43080;35240.0
7680;876;83;1280;88;243;1641;23;18;8506;7080.0
7681;876;83;1280;88;243;1641;23;18;8506;7080.0
7718;1525;490;2736;1769;1084;2736;426;269;22070;20434.0
7719;1525;490;2736;1769;1084;2736;426;269;22070;20434.0
7747;1726;641;3533;880;1233;5534;177;105;27672;23904.0
7748;1726;641;3533;880;1233;5534;177;105;27672;23904.0
7749;1726;641;3533;880;1233;5534;177;105;27672;23904.0
7750;1726;641;3533;880;1233;5534;177;105;27672;23904.0
7787;1522;217;3212;353;899;2232;89;55;17168;15194.0
7788;1522;217;3212;353;899;2232;89;55;17168;15194.0
7825;1321;188;2050;216;405;1994;95;31;12600;10656.0
7826;1321;188;2050;216;405;1994;95;31;12600;10656.0
7868;1056;181;1336;105;456;1719;33;18;9808;8290.0
7869;1056;181;1336;105;456;1719;33;18;9808;8290.0
7897;1163;239;2507;364;898;2011;87;63;14678;12248.0
7898;1163;239;2507;364;898;2011;87;63;14678;12248.0
7899;1163;239;2507;364;898;2011;87;63;14678;12248.0
7943;1333;367;3016;379;995;3198;91;69;18928;16838.0
7944;1333;367;3016;379;995;3198;91;69;18928;16838.0
7996;1746;446;3992;349;1059;4605;85;80;24738;21662.0
7997;1746;446;3992;349;1059;4605;85;80;24738;21662.0
7998;1746;446;3992;349;1059;4605;85;80;24738;21662.0
8040;2612;874;6574;1442;2891;8304;492;280;46954;40782.0
8041;2612;874;6574;1442;2891;8304;492;280;46954;40782.0
8093;512;43;1331;66;151;1101;15;5;6454;5454.0
8094;512;43;1331;66;151;1101;15;5;6454;5454.0
8110;421;223;1262;372;301;610;57;53;6598;6296.0
8111;421;223;1262;372;301;610;57;53;6598;6296.0
8129;348;112;1156;174;283;936;45;30;6170;5900.0
8130;348;112;1156;174;283;936;45;30;6170;5900.0
8131;348;112;1156;174;283;936;45;30;6170;5900.0
8156;1723;638;5071;640;1615;4345;129;58;28440;23296.0
8157;1723;638;5071;640;1615;4345;129;58;28440;23296.0
8182;977;349;3508;300;880;3758;55;52;19764;18016.0
8183;977;349;3508;300;880;3758;55;52;19764;18016.0
8184;977;349;3508;300;880;3758;55;52;19764;18016.0
8228;2908;1099;9540;927;2690;11697;226;170;58560;49108.0
8229;2908;1099;9540;927;2690;11697;226;170;58560;49108.0
8230;2908;1099;9540;927;2690;11697;226;170;58560;49108.0
8231;2908;1099;9540;927;2690;11697;226;170;58560;49108.0
8340;214;60;406;94;138;582;39;8;3084;2936.0
8341;214;60;406;94;138;582;39;8;3084;2936.0
8361;1990;475;4903;496;1220;3404;145;86;25440;21532.0
8362;1990;475;4903;496;1220;3404;145;86;25440;21532.0
8363;1990;475;4903;496;1220;3404;145;86;25440;21532.0
8419;169;58;368;99;134;587;27;13;2910;2852.0
8420;169;58;368;99;134;587;27;13;2910;2852.0
8441;965;174;1617;207;441;2382;48;24;11732;11296.0
8442;965;174;1617;207;441;2382;48;24;11732;11296.0
8464;473;89;585;207;304;1062;45;25;5580;5360.0
8465;473;89;585;207;304;1062;45;25;5580;5360.0
8487;615;88;1394;96;236;1010;49;25;7028;6196.0
8488;615;88;1394;96;236;1010;49;25;7028;6196.0
8517;709;83;893;113;209;1571;31;17;7252;6534.0
8518;709;83;893;113;209;1571;31;17;7252;6534.0
8547;2484;582;4691;1062;1809;6595;169;117;35022;28694.0
8548;2484;582;4691;1062;1809;6595;169;117;35022;28694.0
8549;2484;582;4691;1062;1809;6595;169;117;35022;28694.0
8598;328;78;722;62;148;1198;17;5;5116;4568.0
8599;328;78;722;62;148;1198;17;5;5116;4568.0
8615;2119;206;2252;301;973;4252;53;45;20422;15896.0
8616;2119;206;2252;301;973;4252;53;45;20422;15896.0
8661;1155;96;1558;80;409;2279;14;11;11216;9338.0
8662;1155;96;1558;80;409;2279;14;11;11216;9338.0
8663;1155;96;1558;80;409;2279;14;11;11216;9338.0
8664;1155;96;1558;80;409;2279;14;11;11216;9338.0
8720;646;206;1179;240;547;1824;33;31;9418;9026.0
8721;646;206;1179;240;547;1824;33;31;9418;9026.0
8743;563;197;2078;246;573;1302;46;40;10098;8508.0
8744;563;197;2078;246;573;1302;46;40;10098;8508.0
8745;563;197;2078;246;573;1302;46;40;10098;8508.0
8771;471;111;847;87;299;1669;12;13;7028;6726.0
8772;471;111;847;87;299;1669;12;13;7028;6726.0
8792;1046;484;4222;898;1793;2450;274;150;22642;19534.0
8793;1046;484;4222;898;1793;2450;274;150;22642;19534.0
8826;10264;2930;29733;4835;11324;21997;721;618;164870;141004.0
8827;10264;2930;29733;4835;11324;21997;721;618;164870;141004.0
8828;10264;2930;29733;4835;11324;21997;721;618;164870;141004.0
8829;10264;2930;29733;4835;11324;21997;721;618;164870;141004.0
8916;405;182;785;305;324;1646;75;36;7516;7148.0
8917;405;182;785;305;324;1646;75;36;7516;7148.0
8918;405;182;785;305;324;1646;75;36;7516;7148.0
8919;405;182;785;305;324;1646;75;36;7516;7148.0
8949;538;111;897;86;326;2053;10;13;8072;7554.0
8950;538;111;897;86;326;2053;10;13;8072;7554.0
8967;956;169;1777;303;741;2066;62;45;12246;9806.0
8968;956;169;1777;303;741;2066;62;45;12246;9806.0
8987;223;91;780;214;237;734;23;19;4642;4214.0
8988;223;91;780;214;237;734;23;19;4642;4214.0
9009;177;63;890;94;198;722;35;22;4408;4208.0
9010;177;63;890;94;198;722;35;22;4408;4208.0
9011;177;63;890;94;198;722;35;22;4408;4208.0
9012;177;63;890;94;198;722;35;22;4408;4208.0
9013;177;63;890;94;198;722;35;22;4408;4208.0
9014;177;63;890;94;198;722;35;22;4408;4208.0
9045;8280;897;9166;1173;3234;13273;320;287;73308;56964.0
9046;8280;897;9166;1173;3234;13273;320;287;73308;56964.0
9047;8280;897;9166;1173;3234;13273;320;287;73308;56964.0
9048;8280;897;9166;1173;3234;13273;320;287;73308;56964.0
9049;8280;897;9166;1173;3234;13273;320;287;73308;56964.0
9128;804;526;2572;518;1132;3655;131;85;18852;16090.0
9129;804;526;2572;518;1132;3655;131;85;18852;16090.0
9157;330;55;815;95;339;552;24;20;4462;4306.0
9158;330;55;815;95;339;552;24;20;4462;4306.0
9187;250;52;649;50;269;1039;14;9;4664;4284.0
9188;250;52;649;50;269;1039;14;9;4664;4284.0
9202;1066;173;2288;103;396;2017;19;29;12186;10046.0
9203;1066;173;2288;103;396;2017;19;29;12186;10046.0
9204;1066;173;2288;103;396;2017;19;29;12186;10046.0
9237;867;111;1294;271;315;1172;105;48;8368;7880.0
9238;867;111;1294;271;315;1172;105;48;8368;7880.0
9239;867;111;1294;271;315;1172;105;48;8368;7880.0
9265;429;114;1285;171;422;839;30;19;6620;6046.0
9266;429;114;1285;171;422;839;30;19;6620;6046.0
9290;1314;166;1568;187;543;2403;43;21;12494;10688.0
9291;1314;166;1568;187;543;2403;43;21;12494;10688.0
9292;1314;166;1568;187;543;2403;43;21;12494;10688.0
9343;1024;345;3371;376;852;3823;75;87;19914;17516.0
9344;1024;345;3371;376;852;3823;75;87;19914;17516.0
9345;1024;345;3371;376;852;3823;75;87;19914;17516.0
9346;1024;345;3371;376;852;3823;75;87;19914;17516.0
9347;1024;345;3371;376;852;3823;75;87;19914;17516.0
9401;4148;680;5365;723;1846;8648;248;163;43684;33270.0
9402;4148;680;5365;723;1846;8648;248;163;43684;33270.0
9442;404;50;848;78;229;784;17;13;4850;4418.0
9443;404;50;848;78;229;784;17;13;4850;4418.0
9444;404;50;848;78;229;784;17;13;4850;4418.0
9472;6747;1975;12566;2681;6056;13689;916;646;90590;76972.0
9473;6747;1975;12566;2681;6056;13689;916;646;90590;76972.0
9474;6747;1975;12566;2681;6056;13689;916;646;90590;76972.0
9475;6747;1975;12566;2681;6056;13689;916;646;90590;76972.0
9588;1799;436;3703;542;1475;3756;138;98;23896;19824.0
9589;1799;436;3703;542;1475;3756;138;98;23896;19824.0
9590;1799;436;3703;542;1475;3756;138;98;23896;19824.0
9647;456;88;923;116;303;1251;32;20;6380;5750.0
9648;456;88;923;116;303;1251;32;20;6380;5750.0
9671;3855;561;5406;604;1687;9149;113;81;42942;37772.0
9672;3855;561;5406;604;1687;9149;113;81;42942;37772.0
9696;438;53;762;87;167;1212;28;18;5532;5282.0
9697;438;53;762;87;167;1212;28;18;5532;5282.0
9698;438;53;762;87;167;1212;28;18;5532;5282.0
9699;438;53;762;87;167;1212;28;18;5532;5282.0
9714;140;291;693;51;154;562;21;7;3838;3740.0
9715;140;291;693;51;154;562;21;7;3838;3740.0
9739;413;95;759;122;306;1278;31;13;6034;5816.0
9740;413;95;759;122;306;1278;31;13;6034;5816.0
9758;1611;114;1449;153;406;2307;34;28;12204;10658.0
9759;1611;114;1449;153;406;2307;34;28;12204;10658.0
9783;787;80;1473;96;364;1902;31;19;9504;7492.0
9784;787;80;1473;96;364;1902;31;19;9504;7492.0
9785;787;80;1473;96;364;1902;31;19;9504;7492.0
9786;787;80;1473;96;364;1902;31;19;9504;7492.0
9806;368;163;967;148;323;1557;52;39;7240;6958.0
9807;368;163;967;148;323;1557;52;39;7240;6958.0
9808;368;163;967;148;323;1557;52;39;7240;6958.0
9833;1583;343;4503;555;1319;5404;152;108;27950;23090.0
9834;1583;343;4503;555;1319;5404;152;108;27950;23090.0
9835;1583;343;4503;555;1319;5404;152;108;27950;23090.0
9865;568;105;1123;69;218;1305;5;11;6814;5316.0
9866;568;105;1123;69;218;1305;5;11;6814;5316.0
9883;344;131;779;172;276;1285;54;32;6148;5704.0
9884;344;131;779;172;276;1285;54;32;6148;5704.0
9885;344;131;779;172;276;1285;54;32;6148;5704.0
9910;198;38;611;115;176;389;35;37;3198;3090.0
9911;198;38;611;115;176;389;35;37;3198;3090.0
9940;222;112;1170;235;381;1000;53;44;9654;9390.0
9941;222;112;1170;235;381;1000;53;44;9654;9390.0
9942;222;112;1170;235;381;1000;53;44;9654;9390.0
9961;298;92;667;84;183;1432;17;13;5574;5228.0
9962;298;92;667;84;183;1432;17;13;5574;5228.0
9963;298;92;667;84;183;1432;17;13;5574;5228.0
9985;831;85;1716;86;308;1106;31;14;8356;7620.0
9986;831;85;1716;86;308;1106;31;14;8356;7620.0
10018;259;184;1580;222;447;1012;79;47;7666;6742.0
10019;259;184;1580;222;447;1012;79;47;7666;6742.0
10042;2318;402;6023;745;1383;2921;180;105;28198;24006.0
10043;2318;402;6023;745;1383;2921;180;105;28198;24006.0
10044;2318;402;6023;745;1383;2921;180;105;28198;24006.0
10085;562;157;603;52;279;1573;18;10;6508;5756.0
10086;562;157;603;52;279;1573;18;10;6508;5756.0
10087;562;157;603;52;279;1573;18;10;6508;5756.0
10112;518;326;2080;367;819;1559;131;71;11746;11078.0
10113;518;326;2080;367;819;1559;131;71;11746;11078.0
10150;954;98;1984;99;377;1180;20;13;9450;8474.0
10151;954;98;1984;99;377;1180;20;13;9450;8474.0
10152;954;98;1984;99;377;1180;20;13;9450;8474.0
10194;1158;241;3260;231;650;2649;76;44;16620;13986.0
10195;1158;241;3260;231;650;2649;76;44;16620;13986.0
10229;418;132;609;107;233;1068;29;16;5226;4834.0
10230;418;132;609;107;233;1068;29;16;5226;4834.0
10231;418;132;609;107;233;1068;29;16;5226;4834.0
10258;1072;174;1982;144;496;3418;23;27;14680;12026.0
10259;1072;174;1982;144;496;3418;23;27;14680;12026.0
10260;1072;174;1982;144;496;3418;23;27;14680;12026.0
10261;1072;174;1982;144;496;3418;23;27;14680;12026.0
10307;1250;199;3535;283;920;3888;144;85;20628;16888.0
10308;1250;199;3535;283;920;3888;144;85;20628;16888.0
10337;1444;271;3577;217;927;3833;31;16;20634;15732.0
10338;1444;271;3577;217;927;3833;31;16;20634;15732.0
10366;1039;234;3143;472;1033;3667;131;50;19538;16652.0
10367;1039;234;3143;472;1033;3667;131;50;19538;16652.0
10405;226;34;882;43;133;952;6;6;4564;4088.0
10406;226;34;882;43;133;952;6;6;4564;4088.0
10407;226;34;882;43;133;952;6;6;4564;4088.0
10436;1145;215;2798;346;777;1996;41;26;14700;11674.0
10437;1145;215;2798;346;777;1996;41;26;14700;11674.0
10461;1274;307;3853;742;1285;2988;228;89;21550;18808.0
10462;1274;307;3853;742;1285;2988;228;89;21550;18808.0
10463;1274;307;3853;742;1285;2988;228;89;21550;18808.0
10464;1274;307;3853;742;1285;2988;228;89;21550;18808.0
10505;919;156;1660;269;599;2106;49;37;11608;10994.0
10547;791;141;1152;110;395;1909;24;24;9092;8400.0
10548;791;141;1152;110;395;1909;24;24;9092;8400.0
10573;387;71;923;116;296;592;9;36;4860;4578.0
10574;387;71;923;116;296;592;9;36;4860;4578.0
10594;98;105;668;190;362;496;82;53;4108;3980.0
10595;98;105;668;190;362;496;82;53;4108;3980.0
10613;301;81;376;49;198;665;23;12;3412;3284.0
10614;301;81;376;49;198;665;23;12;3412;3284.0
10637;809;204;2494;162;572;2271;27;21;13120;10454.0
10638;809;204;2494;162;572;2271;27;21;13120;10454.0
10639;809;204;2494;162;572;2271;27;21;13120;10454.0
10666;17647;17549;86395;26765;49217;47534;11695;9606;266516;232954.0
10667;17647;17549;86395;26765;49217;47534;11695;9606;266516;232954.0
0;4308;5638;29503;7755;12988;13685;615;623;75196;64647.0
169;4151;633;6162;1238;3162;10237;316;198;52348;41586.0
170;4151;633;6162;1238;3162;10237;316;198;52348;41586.0
171;4151;633;6162;1238;3162;10237;316;198;52348;41586.0
235;2192;464;3081;489;966;5914;103;63;26552;25184.0
236;2192;464;3081;489;966;5914;103;63;26552;25184.0
237;2192;464;3081;489;966;5914;103;63;26552;25184.0
269;3525;525;4940;552;1570;5856;106;51;34286;30988.0
270;3525;525;4940;552;1570;5856;106;51;34286;30988.0
331;1417;256;2997;370;1002;3628;101;61;19674;17638.0
332;1417;256;2997;370;1002;3628;101;61;19674;17638.0
355;5208;476;11862;995;3252;5758;230;261;56164;43792.0
401;3272;252;3827;595;1690;6990;138;85;33796;27770.0
402;3272;252;3827;595;1690;6990;138;85;33796;27770.0
403;3272;252;3827;595;1690;6990;138;85;33796;27770.0
442;3967;573;5134;691;1628;5033;97;69;34408;28162.0
443;3967;573;5134;691;1628;5033;97;69;34408;28162.0
444;3967;573;5134;691;1628;5033;97;69;34408;28162.0
520;1255;192;2293;304;818;2761;73;41;15490;13062.0
521;1255;192;2293;304;818;2761;73;41;15490;13062.0
549;9706;1765;12765;1791;5716;18186;678;740;102802;85144.0
550;9706;1765;12765;1791;5716;18186;678;740;102802;85144.0
607;3083;333;5502;558;1526;2910;76;39;28088;24582.0
608;3083;333;5502;558;1526;2910;76;39;28088;24582.0
672;6212;2306;13975;4515;7468;7596;1536;903;89154;72220.0
673;6212;2306;13975;4515;7468;7596;1536;903;89154;72220.0
748;2216;228;2693;283;818;3178;66;55;19086;15798.0
749;2216;228;2693;283;818;3178;66;55;19086;15798.0
784;6088;1879;8573;1997;4453;7321;303;277;61936;47590.0
785;6088;1879;8573;1997;4453;7321;303;277;61936;47590.0
786;6088;1879;8573;1997;4453;7321;303;277;61936;47590.0
876;7706;2041;17797;2973;6254;15571;823;682;107808;89060.0
877;7706;2041;17797;2973;6254;15571;823;682;107808;89060.0
878;7706;2041;17797;2973;6254;15571;823;682;107808;89060.0
942;1742;230;2574;289;837;2414;52;38;16376;14680.0
943;1742;230;2574;289;837;2414;52;38;16376;14680.0
989;1783;388;3282;895;2215;3826;242;239;25794;24308.0
990;1783;388;3282;895;2215;3826;242;239;25794;24308.0
1037;1532;214;2813;254;920;3249;55;50;18210;15486.0
1038;1532;214;2813;254;920;3249;55;50;18210;15486.0
1039;1532;214;2813;254;920;3249;55;50;18210;15486.0
1063;7972;1273;11238;2090;4795;15904;405;290;87988;74116.0
1064;7972;1273;11238;2090;4795;15904;405;290;87988;74116.0
1065;7972;1273;11238;2090;4795;15904;405;290;87988;74116.0
1132;3604;657;7133;875;2260;7682;167;131;45242;39116.0
1133;3604;657;7133;875;2260;7682;167;131;45242;39116.0
1134;3604;657;7133;875;2260;7682;167;131;45242;39116.0
1135;3604;657;7133;875;2260;7682;167;131;45242;39116.0
1166;7951;1150;7455;1267;3246;9855;216;188;62746;48538.0
1167;7951;1150;7455;1267;3246;9855;216;188;62746;48538.0
1223;4593;1103;7755;1243;3882;10991;147;110;59720;46310.0
1224;4593;1103;7755;1243;3882;10991;147;110;59720;46310.0
1225;4593;1103;7755;1243;3882;10991;147;110;59720;46310.0
1226;4593;1103;7755;1243;3882;10991;147;110;59720;46310.0
1291;5431;681;7833;1141;2746;9982;252;192;56570;46498.0
1292;5431;681;7833;1141;2746;9982;252;192;56570;46498.0
1293;5431;681;7833;1141;2746;9982;252;192;56570;46498.0
1370;1112;121;1740;164;668;2327;30;10;12400;10748.0
1371;1112;121;1740;164;668;2327;30;10;12400;10748.0
1395;6004;1232;5559;709;1755;11107;150;92;53254;45376.0
1396;6004;1232;5559;709;1755;11107;150;92;53254;45376.0
1443;1530;308;2239;212;578;3314;43;28;16508;14548.0
1444;1530;308;2239;212;578;3314;43;28;16508;14548.0
1468;1415;187;4132;287;1017;3005;58;56;20342;18670.0
1469;1415;187;4132;287;1017;3005;58;56;20342;18670.0
1532;10896;833;8493;825;2434;9333;197;90;66318;51322.0
1533;10896;833;8493;825;2434;9333;197;90;66318;51322.0
1534;10896;833;8493;825;2434;9333;197;90;66318;51322.0
1535;10896;833;8493;825;2434;9333;197;90;66318;51322.0
1592;12840;6896;49912;10452;23667;27620;947;1106;267210;231434.0
1593;12840;6896;49912;10452;23667;27620;947;1106;267210;231434.0
1594;12840;6896;49912;10452;23667;27620;947;1106;267210;231434.0
1936;4146;423;5175;737;2790;7740;152;124;42866;36534.0
1937;4146;423;5175;737;2790;7740;152;124;42866;36534.0
1995;2476;460;4333;454;1742;5368;77;82;30030;25024.0
1996;2476;460;4333;454;1742;5368;77;82;30030;25024.0
2029;4251;448;4664;321;1195;6276;42;32;51676;39991.0
2030;4251;448;4664;321;1195;6276;42;32;51676;39991.0
2031;4251;448;4664;321;1195;6276;42;32;51676;39991.0
2032;4251;448;4664;321;1195;6276;42;32;51676;39991.0
2069;1356;108;1901;155;530;1462;28;28;11180;9702.0
2070;1356;108;1901;155;530;1462;28;28;11180;9702.0
2092;1171;260;2533;270;853;2111;32;18;14506;12028.0
2093;1171;260;2533;270;853;2111;32;18;14506;12028.0
2094;1171;260;2533;270;853;2111;32;18;14506;12028.0
2095;1171;260;2533;270;853;2111;32;18;14506;12028.0
2128;5139;8086;41247;10570;18740;18416;1325;1061;209424;179336.0
2129;5139;8086;41247;10570;18740;18416;1325;1061;209424;179336.0
2130;5139;8086;41247;10570;18740;18416;1325;1061;209424;179336.0
2131;5139;8086;41247;10570;18740;18416;1325;1061;209424;179336.0
2299;2777;300;4377;367;1300;3989;78;64;26514;22122.0
2300;2777;300;4377;367;1300;3989;78;64;26514;22122.0
2332;881;106;2492;350;871;1897;48;34;13390;12012.0
2333;881;106;2492;350;871;1897;48;34;13390;12012.0
2362;3936;520;4816;563;1647;6325;156;106;36174;28216.0
2363;3936;520;4816;563;1647;6325;156;106;36174;28216.0
2403;3227;506;4171;413;1272;5548;69;47;30542;24160.0
2404;3227;506;4171;413;1272;5548;69;47;30542;24160.0
2448;1852;153;2433;363;972;3669;54;53;19122;16432.0
2449;1852;153;2433;363;972;3669;54;53;19122;16432.0
2450;1852;153;2433;363;972;3669;54;53;19122;16432.0
2483;1748;696;2003;490;1114;7147;76;48;26674;22048.0
2484;1748;696;2003;490;1114;7147;76;48;26674;22048.0
2509;5007;2791;16106;4885;8577;10142;860;765;98410;84346.0
2510;5007;2791;16106;4885;8577;10142;860;765;98410;84346.0
2511;5007;2791;16106;4885;8577;10142;860;765;98410;84346.0
2512;5007;2791;16106;4885;8577;10142;860;765;98410;84346.0
2646;18977;10569;57545;19572;27772;46027;4668;2987;377054;331624.0
2647;18977;10569;57545;19572;27772;46027;4668;2987;377054;331624.0
3159;2386;269;2527;297;908;5144;40;26;23250;18702.0
3160;2386;269;2527;297;908;5144;40;26;23250;18702.0
3202;4954;883;8704;1747;3395;4931;271;239;50454;39580.0
3203;4954;883;8704;1747;3395;4931;271;239;50454;39580.0
3204;4954;883;8704;1747;3395;4931;271;239;50454;39580.0
3305;1158;163;2441;218;1217;3031;38;43;16716;13772.0
3306;1158;163;2441;218;1217;3031;38;43;16716;13772.0
3336;1568;157;3395;340;1161;2975;38;49;19406;17816.0
3337;1568;157;3395;340;1161;2975;38;49;19406;17816.0
3338;1568;157;3395;340;1161;2975;38;49;19406;17816.0
