ANALFABETO;ENSINO_FUNDAMENTAL_COMPLETO;ENSINO_FUNDAMENTAL_INCOMPLETO;ENSINO_MEDIO_COMPLETO;ENSINO_MEDIO_INCOMPLETO;LE_E_ESCREVE;SUPERIOR_COMPLETO;SUPERIOR_INCOMPLETO;QTD_APTOS;QTD_COMPARECIMENTO
721;970;74;1460;171;447;775;20;34;7906;7508.0
722;970;74;1460;171;447;775;20;34;7906;7508.0
770;5828;487;7623;602;1786;5447;68;52;43824;34738.0
771;5828;487;7623;602;1786;5447;68;52;43824;34738.0
830;1603;124;2529;127;286;2430;24;20;14322;12814.0
831;1603;124;2529;127;286;2430;24;20;14322;12814.0
859;3513;296;3396;295;702;4656;35;25;25850;20598.0
860;3513;296;3396;295;702;4656;35;25;25850;20598.0
861;3513;296;3396;295;702;4656;35;25;25850;20598.0
913;3153;628;3826;484;1251;3357;119;83;25826;20804.0
914;3153;628;3826;484;1251;3357;119;83;25826;20804.0
915;3153;628;3826;484;1251;3357;119;83;25826;20804.0
975;854;181;1505;187;416;2185;12;10;10700;9146.0
976;854;181;1505;187;416;2185;12;10;10700;9146.0
977;854;181;1505;187;416;2185;12;10;10700;9146.0
1003;1503;125;2127;227;589;1173;50;22;11660;10238.0
1004;1503;125;2127;227;589;1173;50;22;11660;10238.0
1005;1503;125;2127;227;589;1173;50;22;11660;10238.0
1040;2099;203;2815;129;529;2547;18;15;16722;13274.0
1041;2099;203;2815;129;529;2547;18;15;16722;13274.0
1068;4409;348;3376;445;1126;4359;72;69;28432;23096.0
1069;4409;348;3376;445;1126;4359;72;69;28432;23096.0
1070;4409;348;3376;445;1126;4359;72;69;28432;23096.0
1071;4409;348;3376;445;1126;4359;72;69;28432;23096.0
1111;502;412;1544;285;415;929;50;32;8348;7434.0
1112;502;412;1544;285;415;929;50;32;8348;7434.0
1113;502;412;1544;285;415;929;50;32;8348;7434.0
1114;502;412;1544;285;415;929;50;32;8348;7434.0
1169;6567;1225;11692;1543;3910;10827;239;192;72506;59412.0
1170;6567;1225;11692;1543;3910;10827;239;192;72506;59412.0
1171;6567;1225;11692;1543;3910;10827;239;192;72506;59412.0
1231;3726;508;5022;214;1134;4564;29;30;30470;25920.0
1232;3726;508;5022;214;1134;4564;29;30;30470;25920.0
1233;3726;508;5022;214;1134;4564;29;30;30470;25920.0
