ANO_ELEICAO;CODIGO_ESTADO;CODIGO_MUNICIPIO;NUMERO_PARTIDO;ANALFABETO;ENSINO_FUNDAMENTAL_COMPLETO;ENSINO_FUNDAMENTAL_INCOMPLETO;ENSINO_MEDIO_COMPLETO;ENSINO_MEDIO_INCOMPLETO;LE_E_ESCREVE;SUPERIOR_COMPLETO;SUPERIOR_INCOMPLETO;TOTAL_GASTO;SEXO;COD_GRAU_INSTRUCAO;QTD_APTOS;TOTAL_VOTOS
1654;2008;1;1490;45;2901;487;1893;469;860;3621;111;58;0.0;2;6;20800;2405
1655;2008;1;1490;23;2901;487;1893;469;860;3621;111;58;0.0;2;7;20800;1030
0;2008;2;27030;25;4149;564;3628;601;1344;3026;81;51;0.0;2;5;13463;20
1;2008;2;27030;13;4149;564;3628;601;1344;3026;81;51;91861.0;4;7;13463;5516
35;2008;2;27057;15;15186;5922;40623;6905;17327;30390;1332;1341;383898.5;2;8;238156;81144
36;2008;2;27057;10;15186;5922;40623;6905;17327;30390;1332;1341;6205.0;2;3;238156;4404
37;2008;2;27057;43;15186;5922;40623;6905;17327;30390;1332;1341;7101.5;2;4;238156;3556
226;2008;2;27073;40;6990;840;7614;1161;2927;9015;187;131;6858.82;2;7;57772;204
227;2008;2;27073;14;6990;840;7614;1161;2927;9015;187;131;208719.7;2;7;57772;10300
228;2008;2;27073;13;6990;840;7614;1161;2927;9015;187;131;5755.0;2;8;57772;1592
229;2008;2;27073;12;6990;840;7614;1161;2927;9015;187;131;102250.0;2;4;57772;9422
284;2008;2;27090;14;1514;466;3322;600;899;2665;176;96;46334.0;4;7;19486;3523
285;2008;2;27090;11;1514;466;3322;600;899;2665;176;96;45775.62;2;3;19486;2630
286;2008;2;27090;45;1514;466;3322;600;899;2665;176;96;41559.84;2;8;19486;1578
350;2008;2;27111;25;892;219;1911;412;495;677;266;133;44915.07;4;8;10022;1044
351;2008;2;27111;14;892;219;1911;412;495;677;266;133;114262.86;2;6;10022;1575
352;2008;2;27111;31;892;219;1911;412;495;677;266;133;85925.86;4;8;10022;1450
409;2008;2;27138;11;2339;440;2958;443;945;3191;82;48;31953.0;2;4;20920;719
410;2008;2;27138;15;2339;440;2958;443;945;3191;82;48;45442.25;2;8;20920;4343
459;2008;2;27170;11;841;152;1363;92;273;1779;12;16;91900.0;2;7;9070;2203
460;2008;2;27170;40;841;152;1363;92;273;1779;12;16;0.0;2;6;9070;3
461;2008;2;27170;23;841;152;1363;92;273;1779;12;16;7000.0;2;7;9070;94
462;2008;2;27170;45;841;152;1363;92;273;1779;12;16;66761.49;2;8;9070;1609
463;2008;2;27170;17;841;152;1363;92;273;1779;12;16;1600.0;2;6;9070;6
496;2008;2;27154;50;996;140;1575;176;460;1378;35;29;0.0;2;7;9584;177
497;2008;2;27154;22;996;140;1575;176;460;1378;35;29;0.0;2;4;9584;58
498;2008;2;27154;20;996;140;1575;176;460;1378;35;29;27801.35;4;8;9584;1339
499;2008;2;27154;33;996;140;1575;176;460;1378;35;29;28520.0;4;6;9584;2119
542;2008;2;27197;33;4513;495;5406;748;2586;5705;156;54;35309.0;2;4;39404;6740
543;2008;2;27197;15;4513;495;5406;748;2586;5705;156;54;585885.66;2;8;39404;8132
587;2008;2;27219;14;2286;208;2819;172;423;2235;34;22;35590.0;2;8;16412;2520
588;2008;2;27219;15;2286;208;2819;172;423;2235;34;22;21919.76;4;7;16412;3131
640;2008;2;27235;45;1358;138;1905;169;435;1990;33;38;40920.21;2;8;12136;2072
641;2008;2;27235;15;1358;138;1905;169;435;1990;33;38;69134.58;2;6;12136;3055
668;2008;2;27251;22;3601;532;3897;540;1317;3996;116;63;7700.0;2;6;28164;1666
669;2008;2;27251;14;3601;532;3897;540;1317;3996;116;63;84448.12;2;7;28164;5679
670;2008;2;27251;13;3601;532;3897;540;1317;3996;116;63;13677.16;2;8;28164;2836
720;2008;2;27081;45;970;74;1460;171;447;775;20;34;60349.85;2;3;7906;892
721;2008;2;27081;70;970;74;1460;171;447;775;20;34;16505.0;2;5;7906;1373
722;2008;2;27081;22;970;74;1460;171;447;775;20;34;15394.0;2;4;7906;1235
770;2008;2;27278;11;5828;487;7623;602;1786;5447;68;52;92650.0;2;3;43824;7508
771;2008;2;27278;14;5828;487;7623;602;1786;5447;68;52;162207.6;2;8;43824;8167
830;2008;2;27294;14;1603;124;2529;127;286;2430;24;20;57780.0;2;4;14322;3459
831;2008;2;27294;45;1603;124;2529;127;286;2430;24;20;48814.81;2;8;14322;2547
859;2008;2;27316;33;3513;296;3396;295;702;4656;35;25;19370.0;4;8;25850;2646
860;2008;2;27316;25;3513;296;3396;295;702;4656;35;25;6105.86;2;3;25850;194
861;2008;2;27316;14;3513;296;3396;295;702;4656;35;25;65766.55;2;8;25850;5497
913;2008;2;27332;43;3153;628;3826;484;1251;3357;119;83;1983.5;2;8;25826;164
914;2008;2;27332;11;3153;628;3826;484;1251;3357;119;83;64317.41;2;8;25826;5332
915;2008;2;27332;45;3153;628;3826;484;1251;3357;119;83;52900.0;2;6;25826;4033
975;2008;2;27359;15;854;181;1505;187;416;2185;12;10;53675.85;2;6;10700;2669
976;2008;2;27359;10;854;181;1505;187;416;2185;12;10;2159.1;2;8;10700;37
977;2008;2;27359;70;854;181;1505;187;416;2185;12;10;8922.34;2;2;10700;1364
1003;2008;2;27375;11;1503;125;2127;227;589;1173;50;22;13040.17;2;7;11660;334
1004;2008;2;27375;33;1503;125;2127;227;589;1173;50;22;82010.35;4;8;11660;2589
1005;2008;2;27375;40;1503;125;2127;227;589;1173;50;22;52616.75;2;8;11660;1816
1040;2008;2;27391;20;2099;203;2815;129;529;2547;18;15;28373.3;2;8;16722;1573
1041;2008;2;27391;11;2099;203;2815;129;529;2547;18;15;33556.84;2;5;16722;4607
1068;2008;2;27413;12;4409;348;3376;445;1126;4359;72;69;52100.0;2;6;28432;4482
1069;2008;2;27413;12;4409;348;3376;445;1126;4359;72;69;41710.6;4;7;28432;4482
1070;2008;2;27413;45;4409;348;3376;445;1126;4359;72;69;29545.0;4;7;28432;1610
1071;2008;2;27413;40;4409;348;3376;445;1126;4359;72;69;116200.0;2;6;28432;4454
1111;2008;2;27430;33;502;412;1544;285;415;929;50;32;8200.0;2;6;8348;1195
1112;2008;2;27430;45;502;412;1544;285;415;929;50;32;63611.54;4;8;8348;798
1113;2008;2;27430;22;502;412;1544;285;415;929;50;32;8417.85;2;4;8348;196
1114;2008;2;27430;14;502;412;1544;285;415;929;50;32;32099.8;2;8;8348;1258
1169;2008;2;27456;13;6567;1225;11692;1543;3910;10827;239;192;1000.0;2;8;72506;7070
1170;2008;2;27456;15;6567;1225;11692;1543;3910;10827;239;192;194997.11;2;8;72506;19357
1171;2008;2;27456;11;6567;1225;11692;1543;3910;10827;239;192;0.0;4;4;72506;110
1231;2008;2;28894;70;3726;508;5022;214;1134;4564;29;30;64232.7;2;8;30470;4092
1232;2008;2;28894;33;3726;508;5022;214;1134;4564;29;30;89100.0;2;6;30470;4310
1233;2008;2;28894;11;3726;508;5022;214;1134;4564;29;30;40796.18;2;4;30470;3494
1290;2008;2;27472;40;4934;1176;11111;1715;3470;11404;214;152;81813.68;2;6;68388;11418
1291;2008;2;27472;23;4934;1176;11111;1715;3470;11404;214;152;22900.0;2;8;68388;806
1292;2008;2;27472;10;4934;1176;11111;1715;3470;11404;214;152;315265.56;2;3;68388;11850
1293;2008;2;27472;21;4934;1176;11111;1715;3470;11404;214;152;0.0;2;6;68388;41
1294;2008;2;27472;20;4934;1176;11111;1715;3470;11404;214;152;30.0;2;6;68388;37
1357;2008;2;27499;11;1553;130;2800;174;405;3377;22;19;80755.4;2;4;16996;2863
1358;2008;2;27499;45;1553;130;2800;174;405;3377;22;19;36137.35;4;6;16996;3605
1383;2008;2;27049;11;2759;373;3810;273;878;3888;45;32;99566.97;4;7;24138;4574
1384;2008;2;27049;15;2759;373;3810;273;878;3888;45;32;21074.0;2;5;24138;3607
1385;2008;2;27049;17;2759;373;3810;273;878;3888;45;32;0.0;2;8;24138;20
1416;2008;2;27510;20;3260;335;4962;318;1062;4631;36;37;33160.0;2;5;29402;5035
1417;2008;2;27510;14;3260;335;4962;318;1062;4631;36;37;63890.33;2;6;29402;6248
1450;2008;2;27537;45;544;78;1135;110;301;953;20;17;6612.37;2;3;6316;1151
1451;2008;2;27537;15;544;78;1135;110;301;953;20;17;69742.13;2;7;6316;1343
1452;2008;2;27537;40;544;78;1135;110;301;953;20;17;3403.0;2;4;6316;47
1477;2008;2;27553;20;1686;232;2271;194;441;2466;45;19;35930.0;2;3;14720;2353
1478;2008;2;27553;11;1686;232;2271;194;441;2466;45;19;47578.89;4;8;14720;3334
1529;2008;2;27570;14;5097;390;7851;412;1333;7440;51;45;116377.3;2;8;45320;10706
1530;2008;2;27570;25;5097;390;7851;412;1333;7440;51;45;0.0;2;8;45320;5662
1531;2008;2;27570;25;5097;390;7851;412;1333;7440;51;45;7880.0;2;6;45320;5662
1572;2008;2;27596;11;3156;191;3376;248;679;2575;52;63;238809.41;4;8;20688;4605
1573;2008;2;27596;22;3156;191;3376;248;679;2575;52;63;0.0;4;4;20688;18
1574;2008;2;27596;45;3156;191;3376;248;679;2575;52;63;59518.26;2;4;20688;2918
1619;2008;2;27618;15;4930;736;5006;441;1429;7692;61;47;45950.0;2;8;40726;6467
1620;2008;2;27618;14;4930;736;5006;441;1429;7692;61;47;30140.81;2;8;40726;7365
1660;2008;2;27634;28;3088;407;5586;305;1211;5866;63;47;26200.0;2;6;33166;5777
1661;2008;2;27634;13;3088;407;5586;305;1211;5866;63;47;1765.15;2;8;33166;67
1662;2008;2;27634;40;3088;407;5586;305;1211;5866;63;47;167689.23;2;8;33166;6665
1707;2008;2;27650;33;3627;264;3002;171;532;4517;28;20;60873.15;2;6;24328;4532
1708;2008;2;27650;10;3627;264;3002;171;532;4517;28;20;9935.0;2;8;24328;6
1709;2008;2;27650;11;3627;264;3002;171;532;4517;28;20;0.0;2;3;24328;156
1710;2008;2;27650;13;3627;264;3002;171;532;4517;28;20;14113.85;2;4;24328;3937
1764;2008;2;27677;20;1021;208;1434;168;359;1291;31;18;27637.15;2;8;9070;1880
